category	paragraph_1	paragraph_2	len_paragraph_1	is_plagiarism	plagiarism_type
history	Shortly after celebrating Rome’s birthday (see here), Hadrian departed on his journey to the northern provinces and began his first extensive voyage through the empire. As he intended to be absent for a considerable time with little idea of the date in return, it was necessary to leave the control of Rome in trustworthy hands. He left Annius Verus, the grandfather of Marcus Aurelius, who was just born (see here), and his friend Turbo to look after the people and the senate.	As a Hellenophile, Hadrian was familiar with the work of the philosophers Epictetus, the famous stoic, and a certain Heliodorus, an Epicurean, both of whom he considered intimate friends (HA Had. 16.10)	3	False	non-plagiarism
history	After this he travelled  to the provinces of Gaul,  and came to the relief of all the communities with various acts of generosity, and from there he went over into Germany. HA Hadr. 10.1-2	La difficulté de datation des monuments: À propos des monuments de Lugudunum, en particulier ceux considérés comme hadrianiques. Revue Archeologique de l’Est	3	False	non-plagiarism
history	So it seems that Hadrian headed to Gallia Narbonensis (southern France), then moved through Gallia Lugdunensis and from there went to Germany. He probably sailed from Ostia to Massilia (Marseille), southern Gaul’s main port, and proceeded up the Rhône River valley in the direction of Lugdunum (Lyon)	So it seems that Hadrian headed to Gallia Narbonensis (southern France), then moved through Gallia Lugdunensis and from there went to Germany	2	True	partial literal
history	His entourage included the Guard Prefect Septicius Clarus and his chief secretary, Tranquillus Suetonius, the historian and author of The Twelve Caesars. Sabina was most likely with him as the Historia Augusta places the incident of Clarus and Suetonius’ excessive familiarity with the empress in Britain, which Hadrian was to visit in 122 after he inspected the German frontier (Hadr	Greetings to Telephus, head gladiator instructor. Good luck, Diadumenus and Pyladio (C.I.L	2	False	non-plagiarism
history	11.3). Hadrian would abruptly fire both men.	Hadrian would abruptly fire both men.	2	True	partial literal
history	By the Hadrianic era, Gaul was already a rich and flourishing county with well-established urbanisation and well-developed civic centres. It consisted at this time of four provinces; Narbonensis, which was governed by the senate, and Lugdunensis, Aquitania and Belgica, which were ruled by a proconsul of praetorian rank	away the Hadrianic era Gaul was already letter a fat and flourishing county with well-established urbanisation and well-developed subject centres It consisted astatine this time of four provinces Narbonensis The U.S. Senate governed which. and Lugdunensis Aquitania and Belgica A proconsul of praetorian rank subordinate which.	2	True	structural change
history	Lugdunum was the capital of these last three provinces. Hadrian may have used this important administrative centre as a base for a few months	Among the most important later sources for Epicurean philosophy are two remarkable sets of texts discovered in the eighteenth and nineteenth centuries. The first texts were recovered in carbonized condition from the Villa of the Papyri library just outside Herculaneum, which was buried in the eruption of Vesuvius in AD 79	2	False	non-plagiarism
history	Unfortunately, his precise movements inside Gaul are highly elusive. His journey possibly began at the port of Massilia (Birley, 1997)	Unfortunately, the exact movement in the slang is very difficult to understand. The journey may begin in Port of Massilia (Birley, 1997) 	2	True	paraphrase
history	This famous Greek colony of the Phocaeans founded around 600 BC was still a free city, a reward for its invaluable assistance and loyalty to Rome.	This famous Greek Colony of the Phocaeans founded just about 600 B.C. was still a free metropolis A reward for its invaluable help and loyalty to Italian capital 	1	True	structural change
history	Massilia played a major role in distributing Mediterranean goods along the coast of Gaul and Iberia and into inland Gaul on the rivers Durance and Rhône, relying on a series of trading posts. As Carthage’s rival and Rome longstanding ally, the city thrived by acting as a link between Gaul and Rome’s insatiable need for new products and slaves. It retained its Greek character for a considerable length of time despite the gradual process of romanisation. Its Greek legacy lived on in the urban fabric – complete with a theatre, agora and temples – in its constitution and culture.	While these imitations of Egyptian styles and fashions (creatively altered for a Roman audience) were extremely popular, several Roman rulers went a step further. Rather than simply imitating Egyptian architecture, they brought some home with them from Egypt.	4	False	non-plagiarism
history	The Phocaean city also shone by its schools of science and was home to many renowned sailors and explorers. In the 6th century BC, the Massaliote Euthymenes left the city to explore the coast of West Africa beyond the columns of Hercules. In the 4th century BC, Phytheas made a voyage of exploration to north-western Europe, visited a considerable part of modern-day Great Britain and Ireland, and went as far north as Iceland and the Arctic Circle.	The Phocaean urban center also shone past its schools of skill and was home to many illustrious sailors and explorers In the 6th 100 BC the Massaliote Euthymenes far left the city to research the seacoast of West Africa beyond the columns of Hercules In the 4th 100 BC Phytheas successful letter a voyage of geographic expedition to north-western EEC visited A sizable break u of modern-day Great United Kingdom and Ireland and went equally far north atomic number 3 Iceland and the Arctic Circle 	3	True	structural change
history	From Massilia, Hadrian probably sailed north up the Rhône River (Rhodanus) in the direction of Lugdunum. Two years earlier, in 119, the river boatmen of this river, the nautae Rhodanici, had made an offering to Hadrian (see here). They erected a statue of the emperor in the town of Tournus (Tournon-sur-Rhône) between Valencia (Valence) and Vienna (Vienne), at the confluence of the Rhône and the Doux, praising his generosity.	It was the site of an ancient Greek town, providing access to the Mediterranean through the sea of Marmara to the west, the Black Sea to the east, and sitting on the connection point of Rome’s Greek speaking Asian provinces and Latin speaking western provinces. It was, of course, called Constantinopolis (Constantinople).	3	False	non-plagiarism
