category	paragraph_1	paragraph_2	len_pargraph_1	is_plagiarism	plagiarism_type	cleaned_paragraph_1	cleaned_paragraph_2
technology	To enhance the energy harvesting ability of their technology, the researchers are looking to increase the number of STOs in the array they had designed. In addition, they are planning to test their energy harvesters for wirelessly charging other useful electronic devices and sensors.	Foer saw Hughes as a “savior,” who could provide, in addition to cash, “an insider’s knowledge of social media” and “a millennial imprimatur.” The two men set out to revitalize the magazine, hiring high-priced talent and redesigning the Web site. Foer recounts that he became so consumed with monitoring traffic to the magazine’s site, using a tool called Chartbeat, that he checked it even while standing at the urinal.	2	False	non-plagiarism	enhanc harvest abil technolog research look increas number sto array design addit plan test harvest wirelessli charg use electron devic sensor	foer saw hugh savior could provid addit cash insid knowledg social media millenni imprimatur two men set revit magazin hire high-pric talent redesign web site foer recount becam consum monitor traffic magazin site use tool call chartbeat check even stand urin
economy	"""Second, the MNCs expected weak bargaining power from negotiation, so they were skeptical they could maintain competitive prices or profits because the MNCs would have to compete with competitive prices from budding but growing domestic manufacturers. In addition, numerous MNCs were engaged with pre-sanction South Africa; hence, in the """"fog of war"""" where MNCs (like all market actors) are unaware of the decisions of their competitors, an MNC could not rule out the possibility that some of their competitors may also decide to sanction-bust, reducing their own bargaining power in undercutting South African prices"""	Recent studies have shown that the Japanese population's propensity to spend helped drive the economic recovery.[30] These claims fall perfectly into the other established characteristics of the Japanese economy for two main reasons.	2	False	non-plagiarism	second mnc expect weak bargain power negoti skeptic could maintain competit price profit mnc would compet competit price bud grow domest manufactur addit numer mnc engag pre-sanct south africa henc fog war mnc like market actor unawar decis competitor mnc could rule possibl competitor may also decid sanction-bust reduc bargain power undercut south african price	recent studi shown japanes popul propens spend help drive recoveri 30 claim fall perfectli establish characterist japanes economi two main reason
geography	Yet each sediment core only provides information about one place on Earth, so true global-scale analyses of past vegetation change require the amassing and curating of many such records. Neotoma has gathered thousands of such datapoints to help scientists uncover global trends. Researchers from the University of Bergen in Norway, UW-Madison, and Neotoma data stewards from around the world collaborated to perform the new analysis.	Yet apiece deposit marrow exclusive provides information or so matchless place on world and so true global-scale analyses of preceding vegetation change need the amassing and curating of many much records Neotoma has gathered thousands of so much datapoints to help scientists uncover global trends Researchers from the University of Bergen in Norway UW-Madison and genus Neotoma information stewards from about the world collaborated to execute the new analytic thinking 	3	True	structural change	yet sediment core provid inform one place earth true global-scal analys past veget chang requir amass curat mani record neotoma gather thousand datapoint help scientist uncov global trend research univers bergen norway uw-madison neotoma data steward around world collabor perform analysi	yet apiec deposit marrow exclus provid inform matchless place world true global-scal analys preced veget chang need amass curat mani much record neotoma gather thousand much datapoint help scientist uncov global trend research univers bergen norway uw-madison genu neotoma inform steward world collabor execut analyt think
environment	In most developed countries, domestic waste disposal is funded from a national or local tax which may be related to income, or property values. Commercial and industrial waste disposal is typically charged for as a commercial service, often as an integrated charge which includes disposal costs. This practice may encourage disposal contractors to opt for the cheapest disposal option such as landfill rather than the environmentally best solution such as re-use and recycling.	In almost improved countries domesticated waste administration is funded from group A political entity or topical anesthetic tax which May constitute consanguine to income surgery property values mercenary and industrial waste disposal is typically aerated for atomic number 3 a inferior service oft as Associate in Nursing integrated charge which includes electric pig costs This do May promote administration contractors to choose for the cheapest disposal alternative so much every bit landfill quite than the environmentally C. H. Best solution such As re-use and recycling 	3	True	structural change	develop countri domest dispos fund nation local tax may relat incom properti valu commerci industri dispos typic charg commerci servic often integr charg includ dispos cost practic may encourag dispos contractor opt cheapest dispos option landfil rather environment best solut re-us recycl	almost improv countri domest administr fund group polit entiti topic anesthet tax may constitut consanguin incom surgeri properti valu mercenari industri dispos typic aerat atom number 3 inferior servic oft associ nurs integr charg includ electr pig cost may promot administr contractor choos cheapest dispos altern much everi bit landfil quit environment c h best solut re-us recycl
environment	Outside Europe, a diverse group of 20 or more other countries targets renewable energy shares in the 2020–2030 time frame that range from 10% to 50%.	Outside Europe, a diverse group of 20 or more other countries targets renewable energy shares within the 2020-2030 time frame ranging from 10% to 50%. 	1	True	paraphrase	outsid europ divers group 20 countri target renew share 20202030 time frame rang 10 50	outsid europ divers group 20 countri target renew share within 2020-2030 time frame rang 10 50 
covid19	Therefore, these tests should undergo laboratory validation before use in outpatient clinics or as direct-to-consumer testing.	Therefore, these tests should undergo laboratory validation before use in outpatient clinics or as direct-to-consumer testing.	1	True	partial literal	therefor test undergo laboratori valid use outpati clinic direct-to-consum test	therefor test undergo laboratori valid use outpati clinic direct-to-consum test
biology	Scientists have long perceived that natural selection favors early rising seeds. Seedlings that emerge early in the growing season should have a competitive advantage in monopolizing precious soil resources. Early growth also should mean more access to light, since early growers can block sunlight for seedlings that emerge later in the season.	Scientists have long felt that natural selection supports early seeds. The seeds that appear at the beginning of the planting season must have a competitive advantage in monopolizing valuable land resources. Initial growth must also mean more access to light, because early farmers can block the sun for the seeds that appear later in the season. 	3	True	paraphrase	scientist long perceiv natur select favor earli rise seed seedl emerg earli grow season competit advantag monopol preciou soil resourc earli growth also mean access light sinc earli grower block sunlight seedl emerg later season	scientist long felt natur select support earli seed seed appear begin plant season must competit advantag monopol valuabl land resourc initi growth must also mean access light earli farmer block sun seed appear later season 
technology	I'll get a reporter right on it, unless of course I really admire the work of the person who committed all those crimes.	I bought a butter dish. That was the beginnings of the mouse.”	1	False	non-plagiarism	get report right unless cours realli admir work person commit crime	bought butter dish begin mous
history	In the early 4th Century CE (CE is the widely accepted term that replaces AD), the Roman Empire — which had dominated the Mediterranean world, much of Northern Europe including Britain, the North African coastline, Egypt, what is now Turkey and much of the Near East for centuries — was facing ever growing threats from the east. These included new enemies, migratory people such as the Visigoths, Ostrogoths, Huns and many others who had been slowly moving westward from their original homelands in the Central Asian Steppe regions	At the beginning of the 4th century CE (CE was a broadly accepted term replacing AD), the Roman Empire - which has dominated the Mediterranean world, most of North Europe including the UK, North African coastline, Egypt, what is now turkey and many East Near for centuries - facing threats that continue to grow from the east. These include new enemies, migratory people such as Visigoth, Ostrogoth, Huns and many others who slowly move to the west of their original homeland in the Central Asia Stepa area 	2	True	paraphrase	earli 4th centuri ce ce wide accept term replac ad roman empir domin mediterranean world much northern europ includ britain north african coastlin egypt turkey much near east centuri face ever grow threat east includ enemi migratori peopl visigoth ostrogoth hun mani slowli move westward origin homeland central asian stepp region	begin 4th centuri ce ce broadli accept term replac ad roman empir - domin mediterranean world north europ includ uk north african coastlin egypt turkey mani east near centuri - face threat continu grow east includ enemi migratori peopl visigoth ostrogoth hun mani slowli move west origin homeland central asia stepa area
environment	The major effects of such practices mainly consist of climate changes, such as extreme precipitation and acidification and warming of oceans. Climate change has been occurring since the start of the Industrial Revolution in the 1820s	The major effects of such practices mainly consist of climate changes, such as extreme precipitation and acidification and warming of oceans	2	True	partial literal	major effect practic mainli consist chang extrem precipit acidif warm ocean chang occur sinc start industri revolut 1820	major effect practic mainli consist chang extrem precipit acidif warm ocean
