category	paragraph_1	paragraph_2	len_paragraph_1	is_plagiarism	plagiarism_type
history	SUATU senja di tahun 1946. Kereta Api Luar Biasa yang datang dari Yogyakarta terhenti di Stasiun Klender, Jakarta Timur. Kendati memuat sejumlah pejabat RI (Republik Indonesia) yang akan melakukan perundingan dengan pihak Sekutu dan Belanda di Jakarta, namun tak urung izin masuk Jakarta dari NICA (Pemerintah Sipil Hindia Belanda) tetap diperlukan.	Dengan sigap namun penuh rasa takut Enem langsung datang menghadap. Begitu takutnya, hingga tak terasa sang pelayan terkentut-kentut	3	False	non-plagiarism
history	Sudah beberapa menit kereta api tak jalan jua. Cuaca Klender yang panas membuat para penumpang kegerahan	Dia pun menyangkal keraguan dengan menduga istrinya jadi kurusan karena bersusah hati memikirkan dirinya	2	False	non-plagiarism
history	Rasa dahaga pun mendera. Dokter Abdoel Halim memutuskan keluar dari gerbong untuk mencari minuman dingin	Rasa dahaga pun mendera	2	True	partial literal
history	Baru saja meloncat keluar tetiba terdengar suara Sri Sultan Hemengkubuwono IX di belakangnya.	Ketika tinggal di Jalan Jawa No.61 Jakarta (sekarang Jalan H.O.S. Cokroaminoto), bersama keluarganya, Sjahrir tak jarang mendatangi tukang sate langganannya. Tempatnya ada di ujung Jalan Jawa.	1	False	non-plagiarism
history	Menyaksikan itu, Halim agak terperangah. Dia tak berani mengajak Sri Sultan karena berpikir mana mungkin seorang bangsawan yang kedudukannya sangat tinggi mau nongkrong dengannya sambil minum di pinggir jalan.	Pada suatu pagi di bulan Oktober 1927, sebuah kapal penumpang berangkat dari kota pelabuhan Stettin menuju lautan Baltik, dengan tujuan akhir Leningrad di Uni Soviet. Hari itu udara begitu dingin, dan angin bertiup cukup kencang	2	False	non-plagiarism
history	Meskipun agak segan, Halim menunggu Sri Sultan dan Pangeran Bintoro untuk menyertainya cari minuman. Mereka kemudian jalan beriringan keluar dari lingkungan Stasiun Klender.	Meskipun itu agak enggan, Halim sedang menunggu Sri Sultan dan Pangeran Bintoro menemani penemuan minuman. Mereka kemudian berjalan keluar dari lingkungan Stasiun Klender. 	2	True	paraphrase
history	Beberapa meter dari stasiun nampaklah seorang tukang es puter tengah melayani para pembelinya. Merasa jengah jika harus mengajak Sri Sultan dan adiknya itu jajan minuman di pinggir jalan, Halim terus melewati gerobak es puter tersebut.	Sepanjang jalan, mereka ngobrol dengan akrabnya hingga tak terasa sampai tujuan. Tanpa diperintah, Sri Sultan lantas keluar dari mobil	2	False	non-plagiarism
history	Jadilah mereka bertiga jajan es puter di depan Stasiun Klender. Anehnya, tak nampak gelagat dua bangsawan itu terlihat rikuh. Dengan santainya mereka menikmati es puter sambil berdiri di sela lalu-lalang kendaraan dan pejalan kaki.	Saking terpesonanya, Kemal terus memandangi perempuan itu dengan menoleh karena dia terus berjalan. Kemal pun tak mengetahui situasi di depannya kendati kakinya terus melangkah.	3	False	non-plagiarism
history	Kebersahajaan Sri Sultan juga terceritakan Komandan Komando Militer Kota (KMK) Yogyakarta Mayor Pranoto Reksosamodra pada 1950. Suatu hari Sri Sultan pulang blusukan dari pelosok. Di Desa Godean, tetiba Land Rover-nya dihentikan oleh seorang perempuan penjual beras.	Pranoto berseru memanggil mereka lalu melambaikan tangan. Anak muda dan perempuan itu membalas lambaian tangan Pranoto.	3	False	non-plagiarism
history	Tanpa pikir panjang, Sri Sultan menghentikan jip buatan Inggris itu. Belum Sri Sultan mengeluarkan sepatah kata, perempuan itu sudah berseru: “ Niki, karung-karung beras niki diunggahake!” Rupanya, sang penjual beras yang tak mengenal wajah Sri Sultan mengira raja Jawa itu sebagai sopir angkutan beras yang biasa membawa para pedagang ke Pasar Kranggan di wilayah kota Yogyakarta.	Belum Sri Sultan mengeluarkan sepatah kata, perempuan itu sudah berseru: “ Niki, karung-karung beras niki diunggahake!” Rupanya, sang penjual beras yang tak mengenal wajah Sri Sultan mengira raja Jawa itu sebagai sopir angkutan beras yang biasa membawa para pedagang ke Pasar Kranggan di wilayah kota Yogyakarta.	2	True	partial literal
